review_id,department_id
review_0,department_8a993a4318f59b4ffdb3
review_1,department_7d54e6ff154ad392b174
review_2,department_7d54e6ff154ad392b174
review_3,department_ef79c1b75444f473a5d2
review_4,department_b4cb07955152f4f9ed55
review_5,department_7d54e6ff154ad392b174
review_6,department_b4cb07955152f4f9ed55
review_7,department_b4cb07955152f4f9ed55
review_8,department_7d54e6ff154ad392b174
review_9,department_7d54e6ff154ad392b174
review_10,department_7d54e6ff154ad392b174
review_11,department_7d54e6ff154ad392b174
review_12,department_7d54e6ff154ad392b174
review_13,department_8a993a4318f59b4ffdb3
review_14,department_7d54e6ff154ad392b174
review_15,department_ef79c1b75444f473a5d2
review_16,department_ef79c1b75444f473a5d2
review_17,department_b4cb07955152f4f9ed55
review_18,department_5da3128be1ff7664a1b2
review_19,department_7d54e6ff154ad392b174
review_20,department_b4cb07955152f4f9ed55
review_21,department_7d54e6ff154ad392b174
review_22,department_7d54e6ff154ad392b174
review_23,department_7d54e6ff154ad392b174
review_24,department_b4cb07955152f4f9ed55
review_25,department_8a993a4318f59b4ffdb3
review_26,department_b4cb07955152f4f9ed55
review_27,department_ef79c1b75444f473a5d2
review_28,department_8a993a4318f59b4ffdb3
review_29,department_b4cb07955152f4f9ed55
review_30,department_ef79c1b75444f473a5d2
review_31,department_ef79c1b75444f473a5d2
review_32,department_ef79c1b75444f473a5d2
review_33,department_b4cb07955152f4f9ed55
review_34,department_8a993a4318f59b4ffdb3
review_35,department_ef79c1b75444f473a5d2
review_36,department_ef79c1b75444f473a5d2
review_37,department_b4cb07955152f4f9ed55
review_38,department_8a993a4318f59b4ffdb3
review_39,department_b4cb07955152f4f9ed55
review_40,department_b4cb07955152f4f9ed55
review_41,department_b4cb07955152f4f9ed55
review_42,department_b4cb07955152f4f9ed55
review_43,department_8a993a4318f59b4ffdb3
review_44,department_b4cb07955152f4f9ed55
review_45,department_b4cb07955152f4f9ed55
review_46,department_b4cb07955152f4f9ed55
review_47,department_b4cb07955152f4f9ed55
review_48,department_b4cb07955152f4f9ed55
review_49,department_b4cb07955152f4f9ed55
review_50,department_b4cb07955152f4f9ed55
review_51,department_b4cb07955152f4f9ed55
review_52,department_7d54e6ff154ad392b174
review_53,department_b4cb07955152f4f9ed55
review_54,department_b4cb07955152f4f9ed55
review_55,department_b4cb07955152f4f9ed55
review_56,department_8a993a4318f59b4ffdb3
review_57,department_b4cb07955152f4f9ed55
review_58,department_7d54e6ff154ad392b174
review_59,department_8a993a4318f59b4ffdb3
