review_id,product_id
review_0,clothing_767
review_1,clothing_1080
review_2,clothing_1077
review_3,clothing_1049
review_4,clothing_847
review_5,clothing_1080
review_6,clothing_858
review_7,clothing_858
review_8,clothing_1077
review_9,clothing_1077
review_10,clothing_1077
review_11,clothing_1095
review_12,clothing_1095
review_13,clothing_767
review_14,clothing_1077
review_15,clothing_1065
review_16,clothing_1065
review_17,clothing_853
review_18,clothing_1120
review_19,clothing_1077
review_20,clothing_847
review_21,clothing_1080
review_22,clothing_1077
review_23,clothing_1077
review_24,clothing_847
review_25,clothing_697
review_26,clothing_949
review_27,clothing_1003
review_28,clothing_684
review_29,clothing_4
review_30,clothing_1060
review_31,clothing_1060
review_32,clothing_1060
review_33,clothing_949
review_34,clothing_697
review_35,clothing_1060
review_36,clothing_1002
review_37,clothing_949
review_38,clothing_684
review_39,clothing_862
review_40,clothing_862
review_41,clothing_862
review_42,clothing_910
review_43,clothing_89
review_44,clothing_862
review_45,clothing_862
review_46,clothing_862
review_47,clothing_823
review_48,clothing_910
review_49,clothing_862
review_50,clothing_862
review_51,clothing_862
review_52,clothing_1104
review_53,clothing_862
review_54,clothing_862
review_55,clothing_862
review_56,clothing_368
review_57,clothing_862
review_58,clothing_1095
review_59,clothing_368
review_60,clothing_1095
review_61,clothing_368
review_62,clothing_862
review_63,clothing_862
review_64,clothing_862
review_65,clothing_862
review_66,clothing_862
review_67,clothing_862
review_68,clothing_862
review_69,clothing_1078
review_70,clothing_845
review_71,clothing_822
review_72,clothing_850
review_73,clothing_866
review_74,clothing_1081
review_75,clothing_845
review_76,clothing_1082
review_77,clothing_850
review_78,clothing_836
review_79,clothing_1081
review_80,clothing_1072
review_81,clothing_863
review_82,clothing_1133
review_83,clothing_822
review_84,clothing_861
review_85,clothing_866
review_86,clothing_850
review_87,clothing_1081
review_88,clothing_845
review_89,clothing_836
review_90,clothing_1078
review_91,clothing_850
review_92,clothing_861
review_93,clothing_1081
review_94,clothing_850
review_95,clothing_863
review_96,clothing_845
review_97,clothing_861
review_98,clothing_1133
review_99,clothing_861
review_100,clothing_861
review_101,clothing_863
review_102,clothing_822
review_103,clothing_822
review_104,clothing_863
review_105,clothing_836
review_106,clothing_836
review_107,clothing_836
review_108,clothing_836
review_109,clothing_1081
review_110,clothing_861
review_111,clothing_1081
review_112,clothing_836
review_113,clothing_1081
review_114,clothing_1082
review_115,clothing_863
review_116,clothing_1072
review_117,clothing_1078
review_118,clothing_850
review_119,clothing_836
review_120,clothing_861
review_121,clothing_966
review_122,clothing_1196
review_123,clothing_836
review_124,clothing_923
review_125,clothing_1072
review_126,clothing_1133
review_127,clothing_1133
review_128,clothing_966
review_129,clothing_863
review_130,clothing_845
review_131,clothing_1081
review_132,clothing_861
review_133,clothing_966
review_134,clothing_845
review_135,clothing_861
review_136,clothing_966
review_137,clothing_836
review_138,clothing_126
review_139,clothing_1008
review_140,clothing_829
review_141,clothing_828
review_142,clothing_1126
review_143,clothing_1008
review_144,clothing_829
review_145,clothing_828
review_146,clothing_1008
review_147,clothing_1011
review_148,clothing_1008
review_149,clothing_1008
review_150,clothing_1008
review_151,clothing_1008
review_152,clothing_829
review_153,clothing_829
review_154,clothing_829
review_155,clothing_829
review_156,clothing_1008
review_157,clothing_523
review_158,clothing_829
review_159,clothing_829
review_160,clothing_1126
review_161,clothing_829
review_162,clothing_829
review_163,clothing_1008
review_164,clothing_1126
review_165,clothing_829
review_166,clothing_1020
review_167,clothing_895
review_168,clothing_862
review_169,clothing_1104
review_170,clothing_670
review_171,clothing_329
review_172,clothing_670
review_173,clothing_868
review_174,clothing_1020
review_175,clothing_862
review_176,clothing_895
review_177,clothing_895
review_178,clothing_1094
review_179,clothing_895
review_180,clothing_895
review_181,clothing_1020
