district_id,city_id
district_d40154c2d2e0ac4a60ae,city_77aebfe2d87c66d0c62e
district_f49613c929215cc35d82,city_9006ea7a29a6f8a06394
district_664c5ba0114918a8b07e,city_9006ea7a29a6f8a06394
district_8a3f45c6046d24fae5f1,city_77aebfe2d87c66d0c62e
district_6b607080211bea65237d,city_77aebfe2d87c66d0c62e
district_ed64a30171ec08d8d204,city_77aebfe2d87c66d0c62e
district_80b1cf332235e22f39a3,city_77aebfe2d87c66d0c62e
district_582952bf27794e62598d,city_9006ea7a29a6f8a06394
district_3c9e29d4464cd11b615b,city_9006ea7a29a6f8a06394
district_b5ab74eb5f3f852d1f9b,city_77aebfe2d87c66d0c62e
district_1b0db631b5d8a0d6a03d,city_9006ea7a29a6f8a06394
district_61cd569cccb0fda3b57f,city_b1f03cd2d4f3ad19c22c
district_1f170893e57debd41535,city_9006ea7a29a6f8a06394
district_a8ef1b4594e7125743d2,city_5489d284f24ba3e29686
district_3eb498e6d2d08645994a,city_9006ea7a29a6f8a06394
district_637e74e16a6805caa3b9,city_77aebfe2d87c66d0c62e
district_93e6563939ed0d0bac50,city_77aebfe2d87c66d0c62e
district_57880645c8c1190b74c8,city_9006ea7a29a6f8a06394
district_4b864db517bd5b9fce04,city_9006ea7a29a6f8a06394
district_f8e9cbd10065afc66111,city_9006ea7a29a6f8a06394
district_5a42fe8d83120ada9216,city_9006ea7a29a6f8a06394
district_0d28ec5f980f3b7d060a,city_77aebfe2d87c66d0c62e
district_ea82b9ee0fd065bee34c,city_77aebfe2d87c66d0c62e
district_7e46f057db7c25a53e46,city_8180e71ef095bab9e20a
district_09eadbfd59b40ce1c406,city_f586e0340673c691b9ca
district_3e3183fcb05979132abf,city_9006ea7a29a6f8a06394
district_33c6c4cfa8fe2dee5339,city_48a73a8319e933a3c9ff
district_e7bc7593e928a7fe4336,city_9006ea7a29a6f8a06394
district_493d9a08ee5c6cc277eb,city_77aebfe2d87c66d0c62e
district_d1b5bea3ce3bc59a3f5f,city_48a73a8319e933a3c9ff
district_696515e1e8aaa9b952fe,city_48a73a8319e933a3c9ff
district_2d82b9f65ad68c4e7856,city_77aebfe2d87c66d0c62e
district_bfe3c72e8908d0e7926e,city_9006ea7a29a6f8a06394
district_aa65e2cff07500dc8ac9,city_9006ea7a29a6f8a06394
district_e188c362e8f8616e3f62,city_9006ea7a29a6f8a06394
district_32013e412657b62503ef,city_9006ea7a29a6f8a06394
district_00c67190bcbd94a0c2ea,city_9006ea7a29a6f8a06394
district_5aa1ea68542c66f58497,city_77aebfe2d87c66d0c62e
district_fce1e344cacf5f41a8c6,city_f586e0340673c691b9ca
district_2e35c852f774cd14a535,city_9a71cb89fbe7fe5df4fd
district_6d829073c8d52e363364,city_9006ea7a29a6f8a06394
district_e25c9910e98fee887053,city_8b63f072488e17e6b076
district_b8ae3246e1f79ad08e01,city_48a73a8319e933a3c9ff
district_b82bee7ebabc1f62339f,city_93ee49dd7027d8176452
district_8306ed5e27e7a4c06f11,city_9a71cb89fbe7fe5df4fd
district_0aad6b7c7c6d98bed1ea,city_9006ea7a29a6f8a06394
district_93f72a4536f49ec998bd,city_9006ea7a29a6f8a06394
district_605062e60d49241ddf91,city_f586e0340673c691b9ca
district_30998788a49d5c1f6f3f,city_93ee49dd7027d8176452
district_a13c5b49c782b624bab6,city_77aebfe2d87c66d0c62e
district_1b84a2b2f689e1d2bd5a,city_77aebfe2d87c66d0c62e
district_f3e4d4fec925ab364eee,city_77aebfe2d87c66d0c62e
district_27d156f825527e188938,city_77aebfe2d87c66d0c62e
district_2ee13b101fb5d4ad924b,city_48a73a8319e933a3c9ff
district_91b260f7d725b59cc6b8,city_77aebfe2d87c66d0c62e
district_dfaa60de823e6a191ca1,city_9006ea7a29a6f8a06394
district_2ec6951f419eae30bb91,city_93ee49dd7027d8176452
district_f3d0b05b6526165745f9,city_ee7662b2a426cb0de30c
district_face9e76249785a7cb74,city_8b63f072488e17e6b076
district_a6cf433350cc1c4d9555,city_a1c0d70198b479b790ca
district_c644f96e9be11ecb96e0,city_5489d284f24ba3e29686
district_182350e254d5e420671e,city_77aebfe2d87c66d0c62e
district_3d646144c6dc96110432,city_93ee49dd7027d8176452
district_9318be95e9bda862e5eb,city_b1f03cd2d4f3ad19c22c
district_e6a7c5521a71388a3e2b,city_be0d5bf7e30d7c8b352d
district_12307bd96d6608a6d9f6,city_93ee49dd7027d8176452
district_4fb9f8e75ee162672742,city_9a71cb89fbe7fe5df4fd
district_13696ae43fe00352e333,city_4ffa3dff68be4713d65a
district_c14155ef22ca3d455d91,city_3ed973dbce59b61477bd
district_135d306f3fc655632b25,city_93ee49dd7027d8176452
district_eb1b8696b5cef27b1f7a,city_26d08f8317856c7bcc2c
district_d7b92904034cce0fbd01,city_a70f5b43010bf30f8010
district_b89717222da4a82ea032,city_2d33882a0dec57ce6834
district_3fbbe3303479a3201506,city_be0d5bf7e30d7c8b352d
district_80f62d5429013b8efecf,city_ac50a3fcd0f55c19e8aa
district_c3c98ca4036fc4a566aa,city_5489d284f24ba3e29686
district_ca25fe56600598ef1138,city_2efb3e175e78e17ee3cb
district_a0106f129edba19c9e3f,city_77aebfe2d87c66d0c62e
district_87a5eee7df4809d2a342,city_02a71b070e791c346ae0
district_af7ec7d1083cea0d9830,city_2efb3e175e78e17ee3cb
district_0aee106e65464eac5537,city_2d33882a0dec57ce6834
district_12e247279fdd31b484b9,city_a1c0d70198b479b790ca
district_5c6813b6377b1e6d8bed,city_77aebfe2d87c66d0c62e
district_4b3cd4b1c0479b374338,city_48a73a8319e933a3c9ff
district_ca731307aba20af0e5b9,city_a0909cac05777233a6ce
district_d9d2a6361617b2784838,city_f586e0340673c691b9ca
district_0bbf8e7ae5d21945d991,city_be0d5bf7e30d7c8b352d
district_5d57ea80374434115ee2,city_48a73a8319e933a3c9ff
district_05efdf8c04dc0c9ddb1b,city_4ffa3dff68be4713d65a
district_5a0dc180e0d995b84cd6,city_a1c0d70198b479b790ca
district_eee14a2eda17d3eca93b,city_47c6f15da808163b3a07
district_3620341399bdaeb7544e,city_802a466d2050b801e8cf
district_e2bdb89d83148f8f36ca,city_f8c5548c0395fe53b1a3
district_d23ab1abb7827daf1923,city_a0909cac05777233a6ce
district_d1f1b5091286419efbeb,city_df2dd25b4c499f6bba99
district_6974afb0970c4ffa88a2,city_f586e0340673c691b9ca
district_aa5c2dac7cc8519fb284,city_19bbdb5b057162de63f7
district_9114ceec69ed78e3bb53,city_a0909cac05777233a6ce
district_ad5cecd00dd930f5292e,city_9a71cb89fbe7fe5df4fd
district_7c664343caed5beab703,city_77aebfe2d87c66d0c62e
district_f5fb329ea812b3630fbe,city_5489d284f24ba3e29686
district_705cadc853e77bdeabca,city_c08197c1c383e0dfb910
district_d0a14b0590757e74045f,city_b1f03cd2d4f3ad19c22c
district_ea0d8fca6a8bc046ea6c,city_3987b6e478bdbd6b484b
district_5907fa9ba5eb6eccbc61,city_2c120bb6a1300293f7a0
district_be5ec477d726d3372dd0,city_77aebfe2d87c66d0c62e
district_e7e43c6fecd82ad52ffe,city_b1f03cd2d4f3ad19c22c
district_7280888a10b645d6cdf8,city_2c2a20e3c97c4a4c136d
