product_id,clothing_id
clothing_0,0
clothing_1,1
clothing_2,2
clothing_3,3
clothing_4,4
clothing_5,5
clothing_6,6
clothing_7,7
clothing_8,8
clothing_9,9
clothing_10,10
clothing_11,11
clothing_12,12
clothing_13,13
clothing_14,14
clothing_15,15
clothing_16,16
clothing_17,17
clothing_18,18
clothing_19,19
clothing_20,20
clothing_21,21
clothing_22,22
clothing_23,23
clothing_24,24
clothing_25,25
clothing_26,26
clothing_27,27
clothing_28,28
clothing_29,29
clothing_30,30
clothing_31,31
clothing_32,32
clothing_33,33
clothing_34,34
clothing_35,35
clothing_36,36
clothing_37,37
clothing_38,38
clothing_39,39
clothing_40,40
clothing_41,41
clothing_42,42
clothing_43,43
clothing_44,44
clothing_45,45
clothing_46,46
clothing_47,47
clothing_48,48
clothing_49,49
clothing_50,50
clothing_51,51
clothing_52,52
clothing_53,53
clothing_54,54
clothing_55,55
clothing_56,56
clothing_57,57
clothing_58,58
clothing_59,59
clothing_60,60
clothing_61,61
clothing_62,62
clothing_63,63
clothing_64,64
clothing_65,65
clothing_66,66
clothing_67,67
clothing_68,68
clothing_69,69
clothing_70,70
clothing_71,71
clothing_73,73
clothing_74,74
clothing_75,75
clothing_76,76
clothing_77,77
clothing_78,78
clothing_79,79
clothing_80,80
clothing_81,81
clothing_82,82
clothing_83,83
clothing_84,84
clothing_85,85
clothing_86,86
clothing_87,87
clothing_88,88
clothing_89,89
clothing_90,90
clothing_91,91
clothing_92,92
clothing_93,93
clothing_94,94
clothing_95,95
clothing_96,96
clothing_97,97
clothing_98,98
clothing_99,99
clothing_100,100
clothing_101,101
clothing_102,102
clothing_103,103
clothing_104,104
clothing_105,105
clothing_106,106
clothing_107,107
clothing_108,108
clothing_109,109
clothing_110,110
clothing_111,111
clothing_112,112
clothing_113,113
clothing_114,114
clothing_115,115
clothing_116,116
clothing_117,117
clothing_118,118
clothing_119,119
clothing_120,120
clothing_121,121
clothing_122,122
clothing_123,123
clothing_124,124
clothing_125,125
clothing_126,126
clothing_127,127
clothing_128,128
clothing_129,129
clothing_130,130
clothing_131,131
clothing_132,132
clothing_133,133
clothing_134,134
clothing_135,135
clothing_137,137
clothing_138,138
clothing_139,139
clothing_140,140
clothing_141,141
clothing_142,142
clothing_143,143
clothing_144,144
clothing_145,145
clothing_146,146
clothing_147,147
clothing_148,148
clothing_149,149
clothing_150,150
clothing_151,151
clothing_153,153
clothing_154,154
clothing_155,155
clothing_156,156
clothing_157,157
clothing_158,158
clothing_159,159
clothing_160,160
clothing_161,161
clothing_162,162
clothing_163,163
clothing_164,164
clothing_165,165
clothing_166,166
clothing_167,167
clothing_168,168
clothing_169,169
clothing_170,170
clothing_171,171
clothing_172,172
clothing_173,173
clothing_174,174
clothing_175,175
clothing_176,176
clothing_177,177
clothing_178,178
clothing_179,179
clothing_180,180
clothing_181,181
clothing_182,182
clothing_183,183
clothing_185,185
clothing_186,186
clothing_187,187
clothing_188,188
clothing_189,189
clothing_190,190
clothing_191,191
clothing_192,192
clothing_193,193
clothing_194,194
clothing_195,195
clothing_196,196
clothing_197,197
clothing_198,198
clothing_199,199
clothing_200,200
clothing_201,201
clothing_202,202
clothing_203,203
clothing_204,204
clothing_205,205
clothing_206,206
clothing_207,207
clothing_208,208
clothing_209,209
clothing_210,210
clothing_211,211
clothing_212,212
clothing_213,213
clothing_214,214
clothing_215,215
clothing_216,216
clothing_217,217
clothing_218,218
clothing_219,219
clothing_220,220
clothing_221,221
clothing_222,222
clothing_223,223
clothing_224,224
clothing_225,225
clothing_226,226
clothing_227,227
clothing_228,228
clothing_229,229
clothing_230,230
clothing_231,231
clothing_232,232
clothing_233,233
clothing_234,234
clothing_235,235
clothing_236,236
clothing_237,237
clothing_238,238
clothing_239,239
clothing_240,240
clothing_241,241
clothing_242,242
clothing_243,243
clothing_244,244
clothing_245,245
clothing_246,246
clothing_247,247
clothing_248,248
clothing_249,249
clothing_250,250
clothing_251,251
clothing_252,252
clothing_253,253
clothing_254,254
clothing_255,255
clothing_256,256
clothing_257,257
clothing_258,258
clothing_259,259
clothing_260,260
clothing_261,261
clothing_262,262
clothing_263,263
clothing_264,264
clothing_265,265
clothing_266,266
clothing_267,267
clothing_268,268
clothing_269,269
clothing_270,270
clothing_271,271
clothing_272,272
clothing_273,273
clothing_274,274
clothing_275,275
clothing_276,276
clothing_277,277
clothing_278,278
clothing_279,279
clothing_280,280
clothing_281,281
clothing_282,282
clothing_283,283
clothing_284,284
clothing_285,285
clothing_286,286
clothing_287,287
clothing_288,288
clothing_289,289
clothing_290,290
clothing_291,291
clothing_292,292
clothing_293,293
clothing_294,294
clothing_295,295
clothing_296,296
clothing_297,297
clothing_298,298
clothing_299,299
clothing_300,300
clothing_301,301
clothing_302,302
clothing_303,303
clothing_304,304
clothing_305,305
clothing_306,306
clothing_307,307
clothing_308,308
clothing_309,309
clothing_310,310
clothing_311,311
clothing_312,312
clothing_313,313
clothing_314,314
clothing_315,315
clothing_316,316
clothing_317,317
clothing_318,318
clothing_319,319
clothing_320,320
clothing_321,321
clothing_322,322
clothing_323,323
clothing_324,324
clothing_325,325
clothing_326,326
clothing_327,327
clothing_328,328
clothing_329,329
clothing_330,330
clothing_331,331
clothing_332,332
clothing_333,333
clothing_334,334
clothing_335,335
clothing_336,336
clothing_337,337
clothing_338,338
clothing_339,339
clothing_340,340
clothing_341,341
clothing_342,342
clothing_343,343
clothing_344,344
clothing_345,345
clothing_346,346
clothing_347,347
clothing_348,348
clothing_349,349
clothing_350,350
clothing_351,351
clothing_352,352
clothing_353,353
clothing_354,354
clothing_355,355
clothing_356,356
clothing_357,357
clothing_358,358
clothing_359,359
clothing_360,360
clothing_361,361
clothing_362,362
clothing_363,363
clothing_364,364
